2022-10-25 09:23:31 status unpacked curl:amd64 7.74.0-1.3+deb11u3
2022-10-25 09:23:31 startup packages configure
2022-10-25 09:23:31 configure libpsl5:amd64 0.21.0-1.2 <none>
2022-10-25 09:23:31 status unpacked libpsl5:amd64 0.21.0-1.2
2022-10-25 09:23:31 status half-configured libpsl5:amd64 0.21.0-1.2
2022-10-25 09:23:31 status installed libpsl5:amd64 0.21.0-1.2
2022-10-25 09:23:31 configure wget:amd64 1.21-1+deb11u1 <none>
2022-10-25 09:23:31 status unpacked wget:amd64 1.21-1+deb11u1
2022-10-25 09:23:31 status half-configured wget:amd64 1.21-1+deb11u1
2022-10-25 09:23:31 status installed wget:amd64 1.21-1+deb11u1
2022-10-25 09:23:31 configure libbrotli1:amd64 1.0.9-2+b2 <none>
2022-10-25 09:23:31 status unpacked libbrotli1:amd64 1.0.9-2+b2
2022-10-25 09:23:31 status half-configured libbrotli1:amd64 1.0.9-2+b2
2022-10-25 09:23:31 status installed libbrotli1:amd64 1.0.9-2+b2
2022-10-25 09:23:31 configure libnghttp2-14:amd64 1.43.0-1 <none>
2022-10-25 09:23:31 status unpacked libnghttp2-14:amd64 1.43.0-1
2022-10-25 09:23:31 status half-configured libnghttp2-14:amd64 1.43.0-1
2022-10-25 09:23:31 status installed libnghttp2-14:amd64 1.43.0-1
2022-10-25 09:23:31 configure libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-10-25 09:23:31 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-10-25 09:23:31 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-10-25 09:23:31 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-10-25 09:23:31 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2022-10-25 09:23:31 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-10-25 09:23:31 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-10-25 09:23:31 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-10-25 09:23:31 configure libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-10-25 09:23:31 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-10-25 09:23:31 status half-configured libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-10-25 09:23:31 status installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-10-25 09:23:31 configure libssh2-1:amd64 1.9.0-2 <none>
2022-10-25 09:23:31 status unpacked libssh2-1:amd64 1.9.0-2
2022-10-25 09:23:31 status half-configured libssh2-1:amd64 1.9.0-2
2022-10-25 09:23:31 status installed libssh2-1:amd64 1.9.0-2
2022-10-25 09:23:31 configure netbase:all 6.3 <none>
2022-10-25 09:23:31 status unpacked netbase:all 6.3
2022-10-25 09:23:31 status half-configured netbase:all 6.3
2022-10-25 09:23:31 status installed netbase:all 6.3
2022-10-25 09:23:31 configure openssl:amd64 1.1.1n-0+deb11u3 <none>
2022-10-25 09:23:31 status unpacked openssl:amd64 1.1.1n-0+deb11u3
2022-10-25 09:23:31 status half-configured openssl:amd64 1.1.1n-0+deb11u3
2022-10-25 09:23:31 status installed openssl:amd64 1.1.1n-0+deb11u3
2022-10-25 09:23:31 configure libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1 <none>
2022-10-25 09:23:31 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-10-25 09:23:31 status half-configured libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-10-25 09:23:31 status installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-10-25 09:23:31 configure ca-certificates:all 20210119 <none>
2022-10-25 09:23:31 status unpacked ca-certificates:all 20210119
2022-10-25 09:23:31 status half-configured ca-certificates:all 20210119
2022-10-25 09:23:32 status installed ca-certificates:all 20210119
2022-10-25 09:23:32 status triggers-pending ca-certificates:all 20210119
2022-10-25 09:23:32 configure libcurl4:amd64 7.74.0-1.3+deb11u3 <none>
2022-10-25 09:23:32 status unpacked libcurl4:amd64 7.74.0-1.3+deb11u3
2022-10-25 09:23:32 status half-configured libcurl4:amd64 7.74.0-1.3+deb11u3
2022-10-25 09:23:32 status installed libcurl4:amd64 7.74.0-1.3+deb11u3
2022-10-25 09:23:32 configure curl:amd64 7.74.0-1.3+deb11u3 <none>
2022-10-25 09:23:32 status unpacked curl:amd64 7.74.0-1.3+deb11u3
2022-10-25 09:23:32 status half-configured curl:amd64 7.74.0-1.3+deb11u3
2022-10-25 09:23:32 status installed curl:amd64 7.74.0-1.3+deb11u3
2022-10-25 09:23:32 trigproc libc-bin:amd64 2.31-13+deb11u5 <none>
2022-10-25 09:23:32 status half-configured libc-bin:amd64 2.31-13+deb11u5
2022-10-25 09:23:32 status installed libc-bin:amd64 2.31-13+deb11u5
2022-10-25 09:23:32 trigproc ca-certificates:all 20210119 <none>
2022-10-25 09:23:32 status half-configured ca-certificates:all 20210119
2022-10-25 09:23:32 status installed ca-certificates:all 20210119
2022-10-25 09:23:36 startup archives unpack
2022-10-25 09:23:36 install readline-common:all <none> 8.1-1
2022-10-25 09:23:36 status half-installed readline-common:all 8.1-1
2022-10-25 09:23:36 status unpacked readline-common:all 8.1-1
2022-10-25 09:23:36 install libreadline8:amd64 <none> 8.1-1
2022-10-25 09:23:36 status triggers-pending libc-bin:amd64 2.31-13+deb11u5
2022-10-25 09:23:36 status half-installed libreadline8:amd64 8.1-1
2022-10-25 09:23:36 status unpacked libreadline8:amd64 8.1-1
2022-10-25 09:23:36 install libassuan0:amd64 <none> 2.5.3-7.1
2022-10-25 09:23:36 status half-installed libassuan0:amd64 2.5.3-7.1
2022-10-25 09:23:36 status unpacked libassuan0:amd64 2.5.3-7.1
2022-10-25 09:23:36 install gpgconf:amd64 <none> 2.2.27-2+deb11u2
2022-10-25 09:23:36 status half-installed gpgconf:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:36 status unpacked gpgconf:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:36 install libksba8:amd64 <none> 1.5.0-3+deb11u1
2022-10-25 09:23:36 status half-installed libksba8:amd64 1.5.0-3+deb11u1
2022-10-25 09:23:36 status unpacked libksba8:amd64 1.5.0-3+deb11u1
2022-10-25 09:23:36 install libnpth0:amd64 <none> 1.6-3
2022-10-25 09:23:36 status half-installed libnpth0:amd64 1.6-3
2022-10-25 09:23:36 status unpacked libnpth0:amd64 1.6-3
2022-10-25 09:23:36 install dirmngr:amd64 <none> 2.2.27-2+deb11u2
2022-10-25 09:23:36 status half-installed dirmngr:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:36 status unpacked dirmngr:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:36 install gnupg-l10n:all <none> 2.2.27-2+deb11u2
2022-10-25 09:23:36 status half-installed gnupg-l10n:all 2.2.27-2+deb11u2
2022-10-25 09:23:36 status unpacked gnupg-l10n:all 2.2.27-2+deb11u2
2022-10-25 09:23:36 install gnupg-utils:amd64 <none> 2.2.27-2+deb11u2
